Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Colombia;;Dec 2018;1146359;631741;all;N/A;mean;287861;42;15991;6427;15.99;6.43
ETB;Colombia;;Dec 2018;110567;64074;all;N/A;mean;33659;26;23998;15735;24.00;15.74
Movistar;Colombia;;Dec 2018;157787;99317;all;N/A;mean;41906;56;11598;4859;11.60;4.86
Claro;Colombia;;Dec 2018;488093;259766;all;N/A;mean;131798;41;18149;5171;18.15;5.17
Tigo;Colombia;;Dec 2018;224303;121326;all;N/A;mean;59946;33;14609;6208;14.61;6.21
All Providers Combined;Colombia;;Jan 2019;1612548;872451;all;N/A;mean;398344;44;16190;6537;16.19;6.54
ETB;Colombia;;Jan 2019;157286;87467;all;N/A;mean;46652;26;24624;15999;24.62;16.00
Movistar;Colombia;;Jan 2019;236356;148144;all;N/A;mean;58852;58;11868;5056;11.87;5.06
Claro;Colombia;;Jan 2019;675682;350947;all;N/A;mean;179561;44;18079;5213;18.08;5.21
Tigo;Colombia;;Jan 2019;380351;202711;all;N/A;mean;97763;33;14840;5883;14.84;5.88
All Providers Combined;Colombia;;feb-19;1588164;861576;all;N/A;mean;402589;41;17955;8014;17.96;8.01
ETB;Colombia;;feb-19;189749;103346;all;N/A;mean;53207;25;29116;19352;29.12;19.35
Movistar;Colombia;;feb-19;217644;137161;all;N/A;mean;56473;54;12943;5660;12.94;5.66
Claro;Colombia;;feb-19;667909;346930;all;N/A;mean;179865;42;18464;5568;18.46;5.57
Tigo;Colombia;;feb-19;349614;191098;all;N/A;mean;95029;31;16847;7370;16.85;7.37
All Providers Combined;Colombia;;mar-19;1566226;865386;all;N/A;mean;397435;41;17868;7810;17.87;7.81
ETB;Colombia;;mar-19;170198;95032;all;N/A;mean;50756;22;28454;18440;28.45;18.44
Movistar;Colombia;;mar-19;236173;149106;all;N/A;mean;60352;53;13381;5849;13.38;5.85
Claro;Colombia;;mar-19;653929;346195;all;N/A;mean;176852;43;18614;5526;18.61;5.53
Tigo;Colombia;;mar-19;332928;186775;all;N/A;mean;91033;30;17149;7485;17.15;7.49
All Providers Combined;Colombia;;Apr 2019;1532020;838705;all;N/A;mean;386845;44;18286;8132;18.29;8.13
ETB;Colombia;;Apr 2019;144930;82592;all;N/A;mean;45154;23;28923;19391;28.92;19.39
Movistar;Colombia;;Apr 2019;225109;140353;all;N/A;mean;57856;54;14578;7367;14.58;7.37
Claro;Colombia;;Apr 2019;642227;338119;all;N/A;mean;172090;44;19285;5892;19.29;5.89
Tigo;Colombia;;Apr 2019;340576;186518;all;N/A;mean;93044;37;17591;7602;17.59;7.60
All Providers Combined;Colombia;;may-19;1667388;908259;all;N/A;mean;409952;42;19479;8877;19.48;8.88
ETB;Colombia;;may-19;156948;88635;all;N/A;mean;47621;23;29423;19044;29.42;19.04
Movistar;Colombia;;may-19;258951;159142;all;N/A;mean;62968;50;16732;9720;16.73;9.72
Claro;Colombia;;may-19;697418;365666;all;N/A;mean;182172;42;20274;6306;20.27;6.31
Tigo;Colombia;;may-19;373962;201691;all;N/A;mean;98878;34;18405;7958;18.41;7.96
All Providers Combined;Colombia;;jun-19;1651426;880840;all;N/A;mean;410089;43;19341;9318;19.34;9.32
ETB;Colombia;;jun-19;161741;88630;all;N/A;mean;48711;23;29199;19446;29.20;19.45
Movistar;Colombia;;jun-19;266081;158361;all;N/A;mean;65455;50;17345;11195;17.35;11.20
Claro;Colombia;;jun-19;699859;359844;all;N/A;mean;184801;44;19804;6091;19.80;6.09
Tigo;Colombia;;jun-19;363815;192463;all;N/A;mean;96295;36;17476;7845;17.48;7.85
All Providers Combined;Colombia;;jul-19;1780337;433329;all;N/A;mean;433329;41;22023;11168;22.02;11.17
ETB;Colombia;;jul-19;213907;61077;all;N/A;mean;61077;20;35399;24156;35.40;24.16
Movistar;Colombia;;jul-19;278516;68573;all;N/A;mean;68573;49;20076;13366;20.08;13.37
Claro;Colombia;;jul-19;765076;194879;all;N/A;mean;194879;45;20938;7031;20.94;7.03
Tigo;Colombia;;jul-19;367018;96407;all;N/A;mean;96407;32;19568;10032;19.57;10.03
