Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Device Count,Latency,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,Colombia,,Jan 2021,12978,5376,N/A,3g,mean,5376,71,3193,797,3.19,0.8
All Providers Combined,Colombia,,Jan 2021,95329,33488,N/A,lte,mean,33488,46,17305,10153,17.31,10.15
All Providers Combined,Colombia,,Jan 2021,112216,37703,N/A,cellular,mean,37703,48,16297,9328,16.3,9.33
All Providers Combined,Colombia,,feb-21,12937,5393,N/A,3g,mean,5393,67,3409,834,3.41,0.83
All Providers Combined,Colombia,,feb-21,102414,34322,N/A,lte,mean,34322,46,17497,10556,17.5,10.56
All Providers Combined,Colombia,,feb-21,119772,38759,N/A,cellular,mean,38759,49,16669,9740,16.67,9.74
All Providers Combined,Colombia,,mar-21,16073,5941,N/A,3g,mean,5941,65,3312,868,3.31,0.87
All Providers Combined,Colombia,,mar-21,116160,36649,N/A,lte,mean,36649,44,17262,10340,17.26,10.34
All Providers Combined,Colombia,,mar-21,137978,41417,N/A,cellular,mean,41417,46,16490,9564,16.49,9.56
All Providers Combined,Colombia,,Apr 2021,18101,7209,N/A,3g,mean,7209,68,3948,969,3.95,0.97
All Providers Combined,Colombia,,Apr 2021,165864,43900,N/A,lte,mean,43900,49,18408,10152,18.41,10.15
All Providers Combined,Colombia,,Apr 2021,191474,49416,N/A,cellular,mean,49416,51,17763,9454,17.76,9.45
All Providers Combined,Colombia,,may-21,19639,6931,N/A,3g,mean,6931,73,3941,982,3.94,0.98
All Providers Combined,Colombia,,may-21,148013,41087,N/A,lte,mean,41087,50,18468,10439,18.47,10.44
All Providers Combined,Colombia,,may-21,174506,46492,N/A,cellular,mean,46492,52,17639,9679,17.64,9.68
All Providers Combined,Colombia,,jun-21,18052,6509,N/A,3g,mean,6509,77,4049,1030,4.05,1.03
All Providers Combined,Colombia,,jun-21,126825,39418,N/A,lte,mean,39418,49,18999,10815,19,10.82
All Providers Combined,Colombia,,jun-21,151919,44950,N/A,cellular,mean,44950,52,18270,10013,18.27,10.01
All Providers Combined,Colombia,,jul-21,15953,6586,N/A,3g,mean,6586,77,4196,1052,4.2,1.05
All Providers Combined,Colombia,,jul-21,131147,41754,N/A,lte,mean,41754,47,18652,10931,18.65,10.93
All Providers Combined,Colombia,,jul-21,157914,48385,N/A,cellular,mean,48385,50,18179,10203,18.18,10.2
All Providers Combined,Colombia,,Aug 2021,15644,6011,N/A,3g,mean,6011,77,4050,1039,4.05,1.04
All Providers Combined,Colombia,,Aug 2021,124172,39287,N/A,lte,mean,39287,45,19128,11180,19.13,11.18
All Providers Combined,Colombia,,Aug 2021,151007,45788,N/A,cellular,mean,45788,48,18666,10461,18.67,10.46
All Providers Combined,Colombia,,sep-21,14063,5032,N/A,3g,mean,5032,77,3510,871,3.51,0.87
All Providers Combined,Colombia,,sep-21,117161,36980,N/A,lte,mean,36980,46,18702,11247,18.7,11.25
All Providers Combined,Colombia,,sep-21,142271,42950,N/A,cellular,mean,42950,48,18327,10601,18.33,10.6
All Providers Combined,Colombia,,oct-21,12284,4655,N/A,3g,mean,4655,76,3513,850,3.51,0.85
All Providers Combined,Colombia,,oct-21,117870,36523,N/A,lte,mean,36523,48,18647,11319,18.65,11.32
All Providers Combined,Colombia,,oct-21,142797,42761,N/A,cellular,mean,42761,50,18474,10735,18.47,10.74
All Providers Combined,Colombia,,nov-21,11966,4183,N/A,3g,mean,4183,77,3448,831,3.45,0.83
All Providers Combined,Colombia,,nov-21,119885,33534,N/A,lte,mean,33534,46,19279,11340,19.28,11.34
All Providers Combined,Colombia,,nov-21,145098,39912,N/A,cellular,mean,39912,48,19428,10845,19.43,10.85
All Providers Combined,Colombia,,Dec 2021,9368,3814,N/A,3g,mean,3814,69,3397,840,3.4,0.84
All Providers Combined,Colombia,,Dec 2021,108199,32388,N/A,lte,mean,32388,46,19784,11519,19.78,11.52
All Providers Combined,Colombia,,Dec 2021,133197,39492,N/A,cellular,mean,39492,47,20014,11026,20.01,11.03
