Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Device Count,Latency,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
Movistar,"Antioquia, Colombia",,Jan 2018,1315,599,N/A,cellular,mean,599,54,13445,6123,13.45,6.12
Movistar,"Arauca, Colombia",,Jan 2018,41,15,N/A,cellular,mean,15,70,14252,5409,14.25,5.41
Movistar,"Atlantico, Colombia",,Jan 2018,386,181,N/A,cellular,mean,181,65,19752,9015,19.75,9.02
Movistar,"Bogota, Colombia",,Jan 2018,3187,1706,N/A,cellular,mean,1706,36,14353,7094,14.35,7.09
Movistar,"Bolivar, Colombia",,Jan 2018,293,132,N/A,cellular,mean,132,88,13107,6621,13.11,6.62
Movistar,"Boyaca, Colombia",,Jan 2018,319,117,N/A,cellular,mean,117,68,9472,4432,9.47,4.43
Movistar,"Caldas, Colombia",,Jan 2018,160,71,N/A,cellular,mean,71,57,15006,9341,15.01,9.34
Movistar,"Caquetá, Colombia",,Jan 2018,38,17,N/A,cellular,mean,17,76,10747,5682,10.75,5.68
Movistar,"Casanare, Colombia",,Jan 2018,55,31,N/A,cellular,mean,31,35,19137,5106,19.14,5.11
Movistar,"Cauca Department, Colombia",,Jan 2018,111,61,N/A,cellular,mean,61,48,13652,8508,13.65,8.51
Movistar,"Cesar, Colombia",,Jan 2018,206,82,N/A,cellular,mean,82,115,8194,7794,8.19,7.79
Movistar,"Choco, Colombia",,Jan 2018,25,11,N/A,cellular,mean,11,61,8575,6339,8.58,6.34
Movistar,"Cordoba, Colombia",,Jan 2018,78,46,N/A,cellular,mean,46,72,5938,5600,5.94,5.6
Movistar,"Cundinamarca, Colombia",,Jan 2018,611,334,N/A,cellular,mean,334,56,8641,4231,8.64,4.23
Movistar,"Huila, Colombia",,Jan 2018,195,95,N/A,cellular,mean,95,48,14500,6440,14.5,6.44
Movistar,"La Guajira, Colombia",,Jan 2018,69,36,N/A,cellular,mean,36,205,7687,4923,7.69,4.92
Movistar,"Magdalena, Colombia",,Jan 2018,124,61,N/A,cellular,mean,61,163,8391,7684,8.39,7.68
Movistar,"Meta, Colombia",,Jan 2018,220,90,N/A,cellular,mean,90,49,15201,5796,15.2,5.8
Movistar,"Narino, Colombia",,Jan 2018,255,86,N/A,cellular,mean,86,66,13618,9859,13.62,9.86
Movistar,"North Santander, Colombia",,Jan 2018,197,105,N/A,cellular,mean,105,71,17538,6802,17.54,6.8
Movistar,"Putumayo, Colombia",,Jan 2018,36,15,N/A,cellular,mean,15,191,11130,6262,11.13,6.26
Movistar,"Quindio, Colombia",,Jan 2018,128,79,N/A,cellular,mean,79,67,16660,10563,16.66,10.56
Movistar,"Risaralda, Colombia",,Jan 2018,195,96,N/A,cellular,mean,96,67,16587,10797,16.59,10.8
Movistar,"San Andrés and Providencia, Colombia",,Jan 2018,79,40,N/A,cellular,mean,40,273,1017,2146,1.02,2.15
Movistar,"Santander Department, Colombia",,Jan 2018,750,312,N/A,cellular,mean,312,76,13379,6183,13.38,6.18
Movistar,"Sucre, Colombia",,Jan 2018,79,31,N/A,cellular,mean,31,85,5156,4631,5.16,4.63
Movistar,"Tolima, Colombia",,Jan 2018,219,119,N/A,cellular,mean,119,45,12651,5606,12.65,5.61
Movistar,"Valle del Cauca, Colombia",,Jan 2018,1534,722,N/A,cellular,mean,722,52,17223,11135,17.22,11.14
Movistar,"Guaviare, Colombia",,Jan 2018,19,9,N/A,cellular,mean,9,38,5618,5682,5.62,5.68
Avantel,"Antioquia, Colombia",,Jan 2018,901,316,N/A,cellular,mean,316,40,18007,5756,18.01,5.76
Avantel,"Arauca, Colombia",,Jan 2018,4,3,N/A,cellular,mean,3,63,3367,401,3.37,0.4
Avantel,"Atlantico, Colombia",,Jan 2018,363,83,N/A,cellular,mean,83,56,12681,6991,12.68,6.99
Avantel,"Bogota, Colombia",,Jan 2018,8221,2288,N/A,cellular,mean,2288,33,19317,6992,19.32,6.99
Avantel,"Bolivar, Colombia",,Jan 2018,98,41,N/A,cellular,mean,41,50,12302,5441,12.3,5.44
Avantel,"Boyaca, Colombia",,Jan 2018,64,32,N/A,cellular,mean,32,96,4841,2486,4.84,2.49
Avantel,"Caldas, Colombia",,Jan 2018,46,21,N/A,cellular,mean,21,69,13648,5110,13.65,5.11
Avantel,"Caquetá, Colombia",,Jan 2018,34,7,N/A,cellular,mean,7,60,29016,6271,29.02,6.27
Avantel,"Casanare, Colombia",,Jan 2018,23,14,N/A,cellular,mean,14,200,7933,1279,7.93,1.28
Avantel,"Cauca Department, Colombia",,Jan 2018,4,2,N/A,cellular,mean,2,31,10700,16002,10.7,16
